quant_file,pair,activity,stage
quant_27.sf,A,inactive,S1
quant_28.sf,A,active,S1
quant_29.sf,B,inactive,S1
quant_30.sf,B,active,S1
quant_31.sf,C,inactive,S1
quant_32.sf,C,active,S1
quant_33.sf,F,inactive,S2
quant_34.sf,F,active,S2
quant_35.sf,I,inactive,S3
quant_36.sf,I,active,S3
quant_37.sf,J,na,thallus
quant_38.sf,K,na,thallus
quant_39.sf,D,inactive,S2
quant_40.sf,D,active,S2
quant_41.sf,E,inactive,S2
quant_42.sf,E,active,S2
quant_43.sf,G,inactive,S3
quant_44.sf,G,active,S3
quant_45.sf,H,inactive,S3
quant_46.sf,H,active,S3
quant_47.sf,L,na,thallus
quant_48.sf,M,na,thallus
quant_49.sf,N,na,thallus